period_index,date,YrSold,MoSold,n_available,median_interval_width,empirical_coverage,is_crash,mean_predicted_arv,mean_actual_price,prediction_bias_pct,conservative_flip__buy_all_n_bought,conservative_flip__buy_all_n_profitable,conservative_flip__buy_all_realized_profit,conservative_flip__naive_point_n_bought,conservative_flip__naive_point_n_profitable,conservative_flip__naive_point_realized_profit,conservative_flip__uncertainty_aware_n_bought,conservative_flip__uncertainty_aware_n_profitable,conservative_flip__uncertainty_aware_realized_profit,ibuyer__buy_all_n_bought,ibuyer__buy_all_n_profitable,ibuyer__buy_all_realized_profit,ibuyer__naive_point_n_bought,ibuyer__naive_point_n_profitable,ibuyer__naive_point_realized_profit,ibuyer__uncertainty_aware_n_bought,ibuyer__uncertainty_aware_n_profitable,ibuyer__uncertainty_aware_realized_profit,conservative_flip__buy_all_cum_profit,conservative_flip__naive_point_cum_profit,conservative_flip__uncertainty_aware_cum_profit,ibuyer__buy_all_cum_profit,ibuyer__naive_point_cum_profit,ibuyer__uncertainty_aware_cum_profit
33,2009-10,2009,10,53,65087.382503667,0.9622641509433962,True,178931.75567012074,178167.50943396226,0.0042894815030332135,53,53,2193779.996185264,52,52,2191124.383752834,22,22,744571.8168294997,53,43,640401.8525106786,14,13,289596.938029557,9,7,69153.68720520199,82808393.27121271,82677333.22485906,28101196.618910663,26035721.75790113,10462020.683747273,3832793.480684633
34,2009-11,2009,11,37,70866.68014503318,0.8648648648648649,True,170375.7385519713,167483.7837837838,0.01726707328227629,37,36,1378197.0616823074,36,36,1390680.3206058415,16,16,512634.84564937925,37,27,345617.8606142302,8,7,119132.33012835294,6,5,74237.3169730806,84186590.33289503,84068013.5454649,28613831.464560043,26381339.618515357,10581153.013875626,3907030.7976577133
35,2009-12,2009,12,21,68305.24553754719,0.8095238095238095,True,166299.40425507448,158629.42857142858,0.04835153068834398,21,19,661713.443135843,21,19,661713.443135843,7,6,213328.4381253474,21,15,89676.75237923773,5,4,89020.17506976004,5,4,63455.04994827191,84848303.77603087,84729726.98860075,28827159.90268539,26471016.370894596,10670173.188945387,3970485.847605985
36,2010-01,2010,1,26,56861.494604264706,0.7307692307692307,True,179326.3503763459,180872.6923076923,-0.008549338828416728,26,23,1138686.382080351,26,23,1138686.382080351,14,13,550783.5114281629,26,21,374971.32109756884,5,5,182928.80325480388,6,4,40606.656373276994,85986990.15811121,85868413.37068109,29377943.41411355,26845987.691992164,10853101.99220019,4011092.503979262
37,2010-02,2010,2,26,59448.227266079855,0.9230769230769231,True,173573.24707880753,171013.46153846153,0.014968327740505348,26,26,996685.8582569478,26,26,996685.8582569478,13,13,445054.9339495882,26,21,257472.11359772208,9,8,73508.55022359996,5,5,92349.5118834665,86983676.01636817,86865099.22893804,29822998.34806314,27103459.805589885,10926610.54242379,4103442.0158627285
38,2010-03,2010,3,48,57214.97291304858,0.8958333333333334,True,170491.9052640033,175551.58333333334,-0.028821603162204765,48,46,2170923.405577403,48,46,2170923.405577403,25,23,803149.9062208404,48,40,830447.8496297029,7,6,381755.2114110418,6,5,33164.16696811206,89154599.42194557,89036022.63451545,30626148.254283983,27933907.65521959,11308365.753834832,4136606.1828308403
39,2010-04,2010,4,72,56893.12048600304,0.8888888888888888,True,167038.78036056447,169757.23611111112,-0.016013784229894867,72,71,3029241.053051687,70,69,2950224.7121761627,42,41,1460414.899572583,72,56,1059252.4929913336,15,12,282063.2547132119,19,16,191369.51299145288,92183840.47499725,91986247.34669161,32086563.153856568,28993160.14821092,11590429.008548044,4327975.695822293
40,2010-05,2010,5,79,63291.09365814559,0.9367088607594937,True,174720.9385535195,176262.1012658228,-0.008743585270091987,79,79,3373727.851005486,79,79,3373727.851005486,35,35,1303748.6274684116,79,63,1112803.9619352347,21,18,446753.50971025263,20,17,287320.1028295944,95557568.32600273,95359975.19769709,33390311.78132498,30105964.110146154,12037182.518258296,4615295.798651887
41,2010-06,2010,6,82,57196.715935196415,0.8658536585365854,True,166170.9591056164,170561.43902439025,-0.025741339565890982,82,78,3570309.3464926807,80,77,3585288.62732887,43,40,1466062.205858991,82,64,1338367.4921696822,17,13,655507.5647963638,18,17,281695.2327084448,99127877.67249541,98945263.82502596,34856373.98718397,31444331.602315836,12692690.08305466,4896991.031360332
42,2010-07,2010,7,8,59486.582777315285,0.875,True,152791.23019488266,143375.0,0.06567553754059399,8,7,212651.06911225372,8,7,212651.06911225372,4,4,147675.65209930477,8,6,12433.441064879447,2,1,-43581.419316436324,3,3,54279.13074129532,99340528.74160767,99157914.89413822,35004049.63928328,31456765.043380715,12649108.663738223,4951270.162101627
